date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:49	690063/690063	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29e0-a878f%22	https://tony-jin.com/assets/thriller-jumbotron-gradient.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/thriller-jumbotron-gradient.jpg	(from https://tony-jin.com/css/style.css)
10:28:49	741216/741216	---M--	200	added ('OK')	image/png	etag:%225c9d29df-b4f60%22	https://tony-jin.com/assets/photos-jumbotron.png	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/photos-jumbotron.png	(from https://tony-jin.com/css/style.css)
10:28:50	265098/265098	---M--	200	added ('OK')	image/png	etag:%225c9d29df-40b8a%22	https://tony-jin.com/assets/google-jumbotron.png	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/google-jumbotron.png	(from https://tony-jin.com/css/style.css)
10:28:50	453934/453934	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-6ed2e%22	https://tony-jin.com/assets/THD-jumbotron-mobile.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/THD-jumbotron-mobile.jpg	(from https://tony-jin.com/css/style.css)
10:28:50	197686/197686	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-30436%22	https://tony-jin.com/assets/eatxplore-jumbotron-mobile.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/eatxplore-jumbotron-mobile.jpg	(from https://tony-jin.com/css/style.css)
10:28:50	87368/87368	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29e0-15548%22	https://tony-jin.com/assets/walker-jumbotron-mobile.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/walker-jumbotron-mobile.jpg	(from https://tony-jin.com/css/style.css)
10:28:50	229050/229050	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29e0-37eba%22	https://tony-jin.com/assets/up-jumbotron-mobile.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/up-jumbotron-mobile.jpg	(from https://tony-jin.com/css/style.css)
10:28:51	81582/81582	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-13eae%22	https://tony-jin.com/assets/REI-jumbotron-mobile.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/REI-jumbotron-mobile.jpg	(from https://tony-jin.com/css/style.css)
10:28:51	71371/71371	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-116cb%22	https://tony-jin.com/assets/cookfresh-jumbotron-mobile.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/cookfresh-jumbotron-mobile.jpg	(from https://tony-jin.com/css/style.css)
10:28:51	1087399/1087399	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-1097a7%22	https://tony-jin.com/assets/about-portrait.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/about-portrait.jpg	(from https://tony-jin.com/html/about-me.html)
10:28:51	821/821	---M-Z	200	added ('OK')	text/css	etag:W/%225c9d29e0-335%22	https://tony-jin.com/css/zoom.css	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/css/zoom.css	(from https://tony-jin.com/html/works/eatxplore.html)
10:28:52	1831/1831	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c9d29e0-727%22	https://tony-jin.com/js/transition.js	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/js/transition.js	(from https://tony-jin.com/html/works/eatxplore.html)
10:28:52	8003/8003	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c9d29e0-1f43%22	https://tony-jin.com/js/zoom.js	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/js/zoom.js	(from https://tony-jin.com/html/works/eatxplore.html)
10:28:53	74076/74076	---M--	200	added ('OK')	image/png	etag:%225c9d29df-1215c%22	https://tony-jin.com/assets/eatxplore-design-process.png	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/eatxplore-design-process.png	(from https://tony-jin.com/html/works/eatxplore.html)
